zone,sequestration,red,green,blue,alpha,potentiel accueil actions1,seuil variation actions2,type_action2_1,effet_economie_1,effet_sequestration_1,type_action2_2,effet_economie_2,effet_sequestration_2,type_action2_3,effet_economie_3,effet_sequestration_3,type_action2_4,effet_economie_4,effet_sequestration_4,type_action2_5,effet_economie_5,effet_sequestration_5,type_action2_6,effet_economie_6,effet_sequestration_6,type_action2_7,effet_economie_7,effet_sequestration_7,type_action2_8,effet_economie_8,effet_sequestration_8,type_action2_en_plus_1,effet_economie_en_plus_1,effet_sequestration_en_plus_1,type_action2_en_plus_2,effet_economie_en_plus_2,effet_sequestration_en_plus_2,type_action2_en_plus_3,effet_economie_en_plus_3,effet_sequestration_en_plus_3,type_action2_en_plus_4,effet_economie_en_plus_4,effet_sequestration_en_plus_4,type_action2_en_plus_5,effet_economie_en_plus_5,effet_sequestration_en_plus_5,type_action2_en_plus_6,effet_economie_en_plus_6,effet_sequestration_en_plus_6,type_action2_en_plus_7,effet_economie_en_plus_7,effet_sequestration_en_plus_7,type_action2_en_plus_8,effet_economie_en_plus_8,effet_sequestration_en_plus_8
champs agricoles,0,255,0,0,120,,14,agri intensive,3,-1,agri intensive,3,-1,agri extensive,1,0,agri extensive,1,0,fauchage,0,0,bovin,2,-1,ovin,2,-1,apiculture,1,0,agri intensive,3,-1,agri extensive,1,0,fauchage,2,-1,bovin,2,-1,ovin,2,-1,,,,,,,,,
marais doux agricole,0.1,139,69,19,120,7,10,agri intensive,3,-1,agri intensive,3,-1,agri extensive,1,0,agri extensive,1,0,fauchage,0,0,bovin,2,-1,ovin,2,-1,apiculture,1,0,agri intensive,2,-1,agri extensive,1,0,fauchage,0,0,bovin,2,-1,ovin,2,-1,,,,,,,,,
marais doux,0.25,100,149,237,120,15,4,recherche,1,1,tourisme,2,-1,,,,,,,,,,,,,,,,,,,tourisme,2,-1,tourisme,2,-1,tourisme,1,-1,tourisme,1,-1,tourisme,0,-1,,,,,,,,,
marais saumatre,1.51,137,56,173,150,15,8,recherche,1,1,tourisme,2,-1,ovin,1,1,tourisme,2,-1,,,,,,,,,,,,,ovin,1,1,tourisme,2,-1,ovin,1,1,tourisme,2,-1,tourisme,2,-1,,,,,,,,,
marais saumatre dHuyez,1.51,67,16,103,150,5,0,recherche,1,0,tourisme,5,-3,ovin,3,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marais salee,1.75,100,200,180,150,8,6,,,,,,,,,,,,,,,,,,,,,,,,,recherche,1,1,tourisme,2,-1,coquillage,1,0,tourisme,2,-1,tourisme,1,0,coquillage,1,-1,coquillage,1,-1,tourisme,1,0
oestricole,1,192,192,192,120,4,4,economie conchylicole,2,-1,economie conchylicole,2,-1,economie conchylicole,2,-1,economie conchylicole,2,-1,,,,,,,,,,,,,economie conchylicole,2,-1,economie conchylicole,2,-1,economie conchylicole,2,-1,economie conchylicole,2,-1,economie conchylicole,2,-1,,,,,,,,,
marais salant,1.2,255,255,255,200,4,4,saliculture,1,0,saliculture,1,0,saliculture,1,0,tourisme,2,-1,,,,,,,,,,,,,saliculture,2,0,saliculture,2,-1,tourisme,2,-1,saliculture,3,-2,tourisme,2,-1,,,,,,,,,
pres sales,2.4,0,128,0,140,8,2,recherche,1,1,fauchage,1,-1,ovin,1,0,,,,,,,,,,,,,,,,recherche,1,1,fauchage,2,-1,ovin,1,0,fauchage,1,-1,ovin,1,0,,,,,,,,,
vasiere nue,0.25,180,150,100,140,14,2,recherche,1,1,navire,2,-2,coquillage,2,0,,,,,,,,,,,,,,,,plaisance,1,-1,tourisme,2,-2,navire,2,-2,coquillage,1,0,coquillage,1,0,,,,,,,,,
vasiere nue Diop,7.9,210,180,140,120,8,0,recherche,0,1,recherche,0,1,ovin,-1,3,tourisme,-3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pres sales Diop,8.8,0,108,10,120,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demi-herbier Diop,3.5,0,245,20,40,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demi-herbier,0.83,0,255,0,50,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
herbier,1.4,0,255,0,150,9,2,recherche,1,1,plaisance,1,-1,navire,2,-1,,,,,,,,,,,,,,,,recherche,1,1,navire,2,-1,plaisance,1,-1,tourisme,3,-2,plaisance,1,-1,,,,,,,,,
plage,0,255,255,130,180,14,4,toursime,3,-1,toursime,3,-1,toursime,3,-1,toursime,3,-1,toursime,3,-1,,,,,,,,,,toursime,3,-1,toursime,3,-1,toursime,2,-1,toursime,1,-1,toursime,-1,-1,,,,,,,,,
port plaisance,0,30,30,90,120,11,2,plaisance,1,-1,plaisance,1,-1,plaisance,1,-1,plaisance,1,-1,tourisme,3,-1,,,,,,,,,,toursime,2,-1,toursime,2,-1,plaisance,2,-1,plaisance,1,-1,plaisance,1,-1,,,,,,,,,
port industriel,0,40,40,40,180,,2,industrie portuaire,6,-2,industrie portuaire,6,-2,industrie portuaire,6,-2,industrie portuaire,6,-2,industrie portuaire,6,-2,,,,,,,,,,industrie portuaire,6,-2,industrie portuaire,6,-2,industrie portuaire,6,-2,industrie portuaire,6,-2,industrie portuaire,6,-2,,,,,,,,,
foret,0,0,100,0,200,13,8,coupe arbres,1,-1,coupe arbres,1,-1,coupe arbres,1,-1,,,,,,,,,,,,,,,,coupe arbres,1,-1,tourisme,2,-1,coupe arbres,1,-1,coupe arbres,3,-1,tourisme,2,-1,,,,,,,,,
mer,0.004,0,0,255,120,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vide,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
